JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName
1033|1033|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:37:42|2017-01-01T00:37:42|2017-01-01T00:37:44|2017-01-01T00:41:22|00:03:38|0:0|COMPLETED|1|1|1|2800Mn|00:14:00|n1|normal|1|1033
1020|1020|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:23:21|2017-01-01T00:23:21|2017-01-01T00:34:26|2017-01-01T00:41:28|00:07:02|0:0|COMPLETED|1|1|1|2800Mn|00:09:00|n1|normal|1|1020
1022|1022|beocat|normal|account1|users|100|user2|1002|2017-01-01T00:28:03|2017-01-01T00:28:03|2017-01-01T00:28:03|2017-01-01T00:43:44|00:15:41|0:0|COMPLETED|1|1|1|2800Mn|00:20:00|m3|normal|1|1022
1024|1024|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:29:52|2017-01-01T00:29:52|2017-01-01T00:34:26|2017-01-01T00:44:47|00:10:21|0:0|COMPLETED|1|12|12|500000Mn|00:18:00|b1|normal|1|1024
1035|1035|beocat|normal|account1|users|100|user2|1002|2017-01-01T00:43:26|2017-01-01T00:43:26|2017-01-01T00:43:26|2017-01-01T00:45:26|00:02:00|0:0|COMPLETED|2|24|24|2800Mn|00:09:00|n[1,3]|normal|1|1035
1031|1031|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:36:17|2017-01-01T00:36:17|2017-01-01T00:36:17|2017-01-01T00:45:48|00:09:31|0:0|COMPLETED|1|6|6|2800Mn|00:10:00|m4|normal|1|1031
1025|1025|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:32:19|2017-01-01T00:32:19|2017-01-01T00:34:26|2017-01-01T00:48:28|00:14:02|0:0|COMPLETED|1|6|6|2800Mn|00:19:00|m3|normal|1|1025
1019|1019|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:23:12|2017-01-01T00:23:12|2017-01-01T00:34:26|2017-01-01T00:51:49|00:17:23|0:0|COMPLETED|1|12|12|2800Mn|00:30:00|g1|normal|1|1019
1036|1036|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:43:46|2017-01-01T00:43:46|2017-01-01T00:43:47|2017-01-01T00:52:49|00:09:02|0:0|COMPLETED|1|12|12|2800Mn|00:21:00|m2|normal|1|1036
1030|1030|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:35:56|2017-01-01T00:35:56|2017-01-01T00:35:56|2017-01-01T00:53:31|00:17:35|0:0|COMPLETED|1|12|12|2800Mn|00:27:00|n2|normal|1|1030
1039|1039|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:44:22|2017-01-01T00:44:22|2017-01-01T00:44:24|2017-01-01T00:54:22|00:09:58|0:0|COMPLETED|8|96|96|2800Mn|00:16:00|b[2-9]|normal|1|1039
1029|1029|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:35:13|2017-01-01T00:35:13|2017-01-01T00:35:13|2017-01-01T00:55:33|00:20:20|0:0|COMPLETED|1|6|6|2800Mn|00:22:00|m4|normal|1|1029
1048|1048|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:53:52|2017-01-01T00:53:52|2017-01-01T00:53:52|2017-01-01T00:57:29|00:03:37|0:0|COMPLETED|8|96|96|2800Mn|00:05:00|b[1,10],g1,m2,n[1-4]|normal|1|1048
1049|1049|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:54:01|2017-01-01T00:54:01|2017-01-01T00:57:29|2017-01-01T00:57:30|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:05:00|g1|normal|1|1049
1043|1043|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:49:09|2017-01-01T00:49:09|2017-01-01T00:57:32|2017-01-01T00:58:32|00:01:00|0:0|COMPLETED|1|1|1|2800Mn|00:12:00|n4|normal|1|1043
1054|1054|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:58:55|2017-01-01T00:58:55|2017-01-01T00:58:55|2017-01-01T00:58:56|00:00:01|0:0|COMPLETED|3|36|36|2800Mn|00:05:00|b[4-6]|normal|1|1054
1032|1032|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:37:10|2017-01-01T00:37:10|2017-01-01T00:37:10|2017-01-01T01:01:10|00:24:00|0:0|COMPLETED|1|6|6|2800Mn|00:24:00|m1|normal|1|1032
1044|1044|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:52:16|2017-01-01T00:52:16|2017-01-01T00:57:29|2017-01-01T01:01:17|00:03:48|0:0|COMPLETED|1|12|12|2800Mn|00:26:00|n1|normal|1|1044
1038|1038|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:44:21|2017-01-01T00:44:21|2017-01-01T00:57:32|2017-01-01T01:01:22|00:03:50|0:0|COMPLETED|1|12|12|2800Mn|00:07:00|g1|normal|1|1038
1056|1056|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:00:04|2017-01-01T01:00:04|2017-01-01T01:01:23|2017-01-01T01:02:10|00:00:47|0:0|COMPLETED|1|1|1|2800Mn|00:20:00|n1|normal|1|1056
1037|1037|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:43:57|2017-01-01T00:43:57|2017-01-01T00:57:29|2017-01-01T01:02:30|00:05:01|0:0|COMPLETED|3|36|36|2800Mn|00:08:00|m[2-4]|normal|1|1037
1040|1040|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:48:15|2017-01-01T00:48:15|2017-01-01T00:57:29|2017-01-01T01:02:51|00:05:22|0:0|COMPLETED|2|24|24|2800Mn|00:06:00|n[2-3]|normal|1|1040
1050|1050|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:55:12|2017-01-01T00:55:12|2017-01-01T01:00:41|2017-01-01T01:04:01|00:03:20|0:0|COMPLETED|1|1|1|500000Mn|00:09:00|b4|normal|2|1050
1059|1059|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:01:18|2017-01-01T01:01:18|2017-01-01T01:01:23|2017-01-01T01:04:03|00:02:40|0:0|COMPLETED|1|6|6|2800Mn|00:05:00|m1|normal|1|1059
1047|1047|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:53:44|2017-01-01T00:53:44|2017-01-01T00:57:29|2017-01-01T01:05:30|00:08:01|0:0|COMPLETED|1|12|12|500000Mn|00:23:00|b1|normal|1|1047
1064|1064|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:04:02|2017-01-01T01:04:02|2017-01-01T01:04:04|2017-01-01T01:06:33|00:02:29|0:0|COMPLETED|1|6|6|2800Mn|00:28:00|m1|normal|1|1064
1042|1042|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:49:07|2017-01-01T00:49:07|2017-01-01T01:00:41|2017-01-01T01:06:56|00:06:15|0:0|COMPLETED|1|12|12|2800Mn|00:20:00|b5|normal|2|1042
1062|1062|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:03:20|2017-01-01T01:03:20|2017-01-01T01:03:20|2017-01-01T01:07:17|00:03:57|0:0|COMPLETED|1|1|1|2800Mn|00:09:00|m1|normal|1|1062
1052|1052|beocat|normal|account1|users|100|user2|1002|2017-01-01T00:57:41|2017-01-01T00:57:41|2017-01-01T00:57:41|2017-01-01T01:07:39|00:09:58|0:0|COMPLETED|1|12|12|500000Mn|00:12:00|b2|normal|1|1052
1058|1058|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:00:59|2017-01-01T01:00:59|2017-01-01T01:01:23|2017-01-01T01:08:10|00:06:47|0:0|COMPLETED|1|6|6|500000Mn|00:08:00|b7|normal|1|1058
1053|1053|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:58:00|2017-01-01T00:58:00|2017-01-01T00:58:00|2017-01-01T01:08:43|00:10:43|0:0|COMPLETED|1|12|12|500000Mn|00:19:00|b3|normal|1|1053
1051|1051|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:55:18|2017-01-01T00:55:18|2017-01-01T01:00:41|2017-01-01T01:09:00|00:08:19|0:0|COMPLETED|1|1|1|2800Mn|00:17:00|m1|normal|2|1051
1055|1055|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:59:14|2017-01-01T00:59:14|2017-01-01T01:00:41|2017-01-01T01:14:31|00:13:50|0:0|COMPLETED|1|12|12|2800Mn|00:19:00|b6|normal|2|1055
1057|1057|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:00:37|2017-01-01T01:00:37|2017-01-01T01:00:37|2017-01-01T01:20:29|00:19:52|0:0|COMPLETED|1|6|6|2800Mn|00:21:00|n4|normal|1|1057
1069|1069|beocat|normal|account1|users|100|user3|1003|2017-01-01T01:07:21|2017-01-01T01:07:21|2017-01-01T01:20:41|2017-01-01T01:20:42|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:12:00|b5|normal|2|1069
1046|1046|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:53:17|2017-01-01T00:53:17|2017-01-01T01:00:41|2017-01-01T01:21:41|00:21:00|0:0|COMPLETED|1|6|6|2800Mn|00:21:00|n4|normal|2|1046
1065|1065|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:04:53|2017-01-01T01:04:53|2017-01-01T01:20:41|2017-01-01T01:21:46|00:01:05|0:0|COMPLETED|1|6|6|2800Mn|00:05:00|n4|normal|2|1065
1045|1045|beocat|normal|account1|users|100|user2|1002|2017-01-01T00:53:11|2017-01-01T00:53:11|2017-01-01T01:01:23|2017-01-01T01:22:12|00:20:49|0:0|COMPLETED|1|2|2|2800Mn|00:27:00|g1|normal|1|1045
1070|1070|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:08:34|2017-01-01T01:08:34|2017-01-01T01:20:41|2017-01-01T01:24:37|00:03:56|0:0|COMPLETED|1|12|12|2800Mn|00:11:00|b9|normal|2|1070
1072|1072|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:10:22|2017-01-01T01:10:22|2017-01-01T01:20:41|2017-01-01T01:24:52|00:04:11|0:0|COMPLETED|3|36|36|2800Mn|00:10:00|b[1-3]|normal|2|1072
1067|1067|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:06:29|2017-01-01T01:06:29|2017-01-01T01:20:41|2017-01-01T01:25:06|00:04:25|0:0|COMPLETED|1|6|6|500000Mn|00:26:00|b5|normal|2|1067
1075|1075|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:11:10|2017-01-01T01:11:10|2017-01-01T01:20:41|2017-01-01T01:28:15|00:07:34|0:0|COMPLETED|1|12|12|500000Mn|00:30:00|b10|normal|2|1075
1061|1061|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:02:51|2017-01-01T01:02:51|2017-01-01T01:02:51|2017-01-01T01:30:51|00:28:00|0:0|COMPLETED|3|36|36|2800Mn|00:28:00|n[1-3]|normal|1|1061
1080|1080|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:14:18|2017-01-01T01:14:18|2017-01-01T01:20:41|2017-01-01T01:31:15|00:10:34|0:0|COMPLETED|4|48|48|2800Mn|00:14:00|m[1-4]|normal|2|1080
1101|1101|beocat|normal|account1|users|100|user3|1003|2017-01-01T01:29:52|2017-01-01T01:29:52|2017-01-01T01:29:52|2017-01-01T01:33:28|00:03:36|0:0|COMPLETED|8|96|96|2800Mn|00:05:00|b[1-3,5,9-10],g1,n4|normal|1|1101
1088|1088|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:19:15|2017-01-01T01:19:15|2017-01-01T01:20:41|2017-01-01T01:34:41|00:14:00|0:0|COMPLETED|3|36|36|2800Mn|00:14:00|b[6-8]|normal|2|1088
1082|1082|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:15:57|2017-01-01T01:15:57|2017-01-01T01:20:41|2017-01-01T01:40:18|00:19:37|0:0|COMPLETED|1|12|12|2800Mn|00:20:00|b4|normal|2|1082
1076|1076|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:11:54|2017-01-01T01:11:54|2017-01-01T01:40:41|2017-01-01T01:40:42|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:10:00|m1|normal|2|1076
1111|1111|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:37:38|2017-01-01T01:37:38|2017-01-01T01:40:41|2017-01-01T01:40:42|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:13:00|m2|normal|2|1111
1100|1100|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:29:14|2017-01-01T01:29:14|2017-01-01T01:40:41|2017-01-01T01:40:42|00:00:01|0:0|COMPLETED|1|1|1|500000Mn|00:07:00|b3|normal|2|1100
1087|1087|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:18:40|2017-01-01T01:18:40|2017-01-01T01:40:41|2017-01-01T01:40:42|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:22:00|m2|normal|2|1087
1071|1071|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:08:49|2017-01-01T01:08:49|2017-01-01T01:40:41|2017-01-01T01:40:42|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:29:00|m2|normal|2|1071
1085|1085|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:18:11|2017-01-01T01:18:11|2017-01-01T01:40:41|2017-01-01T01:40:42|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:05:00|g1|normal|2|1085
1066|1066|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:05:03|2017-01-01T01:05:03|2017-01-01T01:33:28|2017-01-01T01:43:56|00:10:28|0:0|COMPLETED|4|48|48|2800Mn|00:20:00|n[1-4]|normal|1|1066
1092|1092|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:23:17|2017-01-01T01:23:17|2017-01-01T01:40:41|2017-01-01T01:45:06|00:04:25|0:0|COMPLETED|2|24|24|2800Mn|00:30:00|m[3-4]|normal|2|1092
1090|1090|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:20:57|2017-01-01T01:20:57|2017-01-01T01:40:41|2017-01-01T01:45:52|00:05:11|0:0|COMPLETED|1|1|1|2800Mn|00:11:00|m2|normal|2|1090
1107|1107|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:34:02|2017-01-01T01:34:02|2017-01-01T01:40:41|2017-01-01T01:52:41|00:12:00|0:0|COMPLETED|1|1|1|500000Mn|00:12:00|b4|normal|2|1107
1083|1083|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:17:25|2017-01-01T01:17:25|2017-01-01T01:43:56|2017-01-01T01:53:44|00:09:48|0:0|COMPLETED|3|36|36|2800Mn|00:27:00|n[1-3]|normal|1|1083
1086|1086|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:18:29|2017-01-01T01:18:29|2017-01-01T01:53:44|2017-01-01T01:53:45|00:00:01|0:0|COMPLETED|3|36|36|2800Mn|00:06:00|n[1-3]|normal|1|1086
1084|1084|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:17:39|2017-01-01T01:17:39|2017-01-01T01:40:41|2017-01-01T01:54:08|00:13:27|0:0|COMPLETED|1|6|6|2800Mn|00:17:00|m2|normal|2|1084
1097|1097|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:27:30|2017-01-01T01:27:30|2017-01-01T01:40:41|2017-01-01T01:54:41|00:14:00|0:0|COMPLETED|1|12|12|2800Mn|00:14:00|b1|normal|2|1097
1098|1098|beocat|normal|account1|users|100|user3|1003|2017-01-01T01:28:00|2017-01-01T01:28:00|2017-01-01T01:40:41|2017-01-01T01:58:58|00:18:17|0:0|COMPLETED|1|12|12|500000Mn|00:22:00|b2|normal|2|1098
1125|1125|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:55:23|2017-01-01T01:55:23|2017-01-01T02:00:41|2017-01-01T02:00:42|00:00:01|0:0|COMPLETED|1|6|6|2800Mn|00:30:00|b2|normal|2|1125
1124|1124|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:53:50|2017-01-01T01:53:50|2017-01-01T02:00:41|2017-01-01T02:00:42|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:05:00|m2|normal|2|1124
1079|1079|beocat|normal|account1|users|100|user2|1002|2017-01-01T01:13:23|2017-01-01T01:13:23|2017-01-01T02:00:41|2017-01-01T02:00:42|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:05:00|m4|normal|2|1079
1132|1132|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:58:48|2017-01-01T01:58:48|2017-01-01T02:00:41|2017-01-01T02:00:42|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:05:00|m2|normal|2|1132
1130|1130|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:57:57|2017-01-01T01:57:57|2017-01-01T02:00:41|2017-01-01T02:01:15|00:00:34|0:0|COMPLETED|1|1|1|500000Mn|00:12:00|b4|normal|2|1130
