###############################################################################
t: Sun Jan  1 00:00:41 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1055    normal     1055    user3 PD       0:00      1 (Priority)
              1032    normal     1032    user4  R      22:51      1 m1
              1037    normal     1037    user3  R       2:32      3 m[2-4]
              1038    normal     1038    user1  R       2:29      1 g1
              1040    normal     1040    user1  R       2:32      2 n[2-3]
              1044    normal     1044    user5  R       2:32      1 n1
              1047    normal     1047    user5  R       2:32      1 b1
              1052    normal     1052    user2  R       2:20      1 b2
              1053    normal     1053    user5  R       2:01      1 b3
###############################################################################
t: Sun Jan  1 01:05:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1065    normal     1065    user5 PD       0:00      1 (Resources)
              1042    normal     1042    user3  R       4:20      1 b5
              1045    normal     1045    user2  R       3:38      1 g1
              1046    normal     1046    user1  R       4:20      1 n4
              1047    normal     1047    user5  R       7:32      1 b1
              1051    normal     1051    user3  R       4:20      1 m1
              1052    normal     1052    user2  R       7:20      1 b2
              1053    normal     1053    user5  R       7:01      1 b3
              1055    normal     1055    user3  R       4:20      1 b6
              1057    normal     1057    user4  R       4:24      1 n4
              1058    normal     1058    user4  R       3:38      1 b7
              1061    normal     1061    user2  R       2:10      3 n[1-3]
              1062    normal     1062    user2  R       1:41      1 m1
              1064    normal     1064    user1  R       0:57      1 m1
###############################################################################
t: Sun Jan  1 01:10:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1065    normal     1065    user5 PD       0:00      1 (Priority)
              1066    normal     1066    user4 PD       0:00      4 (Resources)
              1067    normal     1067    user5 PD       0:00      1 (Priority)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1069    normal     1069    user3 PD       0:00      1 (Priority)
              1070    normal     1070    user4 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1045    normal     1045    user2  R       8:38      1 g1
              1046    normal     1046    user1  R       9:20      1 n4
              1055    normal     1055    user3  R       9:20      1 b6
              1057    normal     1057    user4  R       9:24      1 n4
